"id","name","description","default_code"
"import_03_30_0015","Alpha Extracts - Tincture - CBD  Pet Tincture - 50mg","","CO0007"
"import_03_30_0014","Alpha Extracts - Tincture - CBD Tincture - 120mg","","CO0006"
"__export__.product_template_605_fca3d1cd","Cannatique - Animal Mint Prepackaged Flower - 3.5g","","FL0018"
"import_product_04_011_006","Cannatique - Flower - Black Mamba  - Prepackaged - 3.5g","","FL0008"
"import_product_04_011_002","Cannatique - Flower - Fruit Punch  - 3.5g","","FL0004"
"import_product_04_011_003","Cannatique - Flower - Gelato Dosi Do Prepackaged - 3.5g","","FL0005"
"import_product_04_011_004","Cannatique - Flower - Glazed Apricot Prepackaged - 3.5g","","FL0006"
"import_product_04_011_001","Cannatique - Flower - White Animal Cookies Prepackaged - 3.5g","","FL0025"
"import_03_29_0017","Cosmo D's - Chocolate - Edible bar - 100mg Extra Toasted Coconut - 100mg","","ED0011"
"import_03_29_0018","Cosmo D's - Chocolate - Edible bar - Chocolate Vegan Crumble - 100mg","","ED0012"
"import_03_29_0016","Cosmo D's - Chocolate - Edible bar - Cosmic Berry Crunch - 100mg","","ED0010"
"import_03_29_0015","Cosmo D's - Chocolate - Edible bar - Hazy Hazelnut - 100mg","","ED0009"
"__export__.product_template_558_44d279b1","Dollar Dose - Cherry AK Sauce - 0.5g   ","","CO0035"
"__export__.product_template_555_ac8ee2fc","Dollar Dose - Cherry AK Sauce - 1g  ","","CO0036"
"__export__.product_template_557_cf43f7ed","Dollar Dose - Cherry Pie Sauce - 0.5g   ","","CO0037"
"__export__.product_template_554_a10f53c4","Dollar Dose - Cherry Pie Sauce - 1g  ","","CO0038"
"__export__.product_template_561_0f80f35e","Dollar Dose - Golden Lemon - Crumble - 1g  ","","CO0039"
"__export__.product_template_560_039a535b","Dollar Dose - Lucky Lemon - Crumble - 1g     ","","CO0040"
"__export__.product_template_654_30fc2394","Dollar Dose - Lucky Lemon Crumble - 0.5g","","CO0052"
"__export__.product_template_556_521b2795","Dollar Dose - OG Sauce - 0.5g  ","","CO0041"
"__export__.product_template_552_6c71190c","Dollar Dose - OG Sauce - 1g","","CO0033"
"__export__.product_template_559_0dc55208","Dollar Dose - Tangie Sauce - 0.5g    ","","CO0042"
"__export__.product_template_553_5a1d1fa2","Dollar Dose - Tangie Sauce - 1g ","","CO0034"
"__export__.product_template_611_ffb8e298","Dollar Dose - hard candy - lozenge - 5mg","","ED0015"
"__export__.product_template_434_ee53476a","Endo - Endodrops - Ginger Citrus - 300mg CBD - 2oz","","ED0031"
